"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"2d5653a8-f8c3-4a17-a5f7-33a0ea9e7b27","greekLit-fgrh.2046.bnjo-1-ed-grc_clean_post-ner.xml","Ἴβηρες","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[3]::54;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[3]::60","PLACE","","","","","","","NOT_IDENTIFIABLE","group|ethnic|μιγάδες","390000RIbe","",""
"74ec5b9f-d399-4989-bfb4-351ddaa85728","greekLit-fgrh.2046.bnjo-1-ed-grc_clean_post-ner.xml","Ῥοδανοῦ","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[3]::83;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[3]::90","PLACE","http://pleiades.stoa.org/places/148168","Rhodanus (river)|Rhodanus, Rhône (Le)","-0550/0640","43.33167","4.84861","river","VERIFIED","ποταμός","","",""
"25efb652-da27-4608-925b-a872330068da","greekLit-fgrh.2046.bnjo-1-ed-grc_clean_post-ner.xml","Λιγύων","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[3]::102;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[3]::108","PLACE","http://pleiades.stoa.org/places/383698","Liguria","-0750/0640","44.22656549434755","9.235707726672372","region","VERIFIED","group|ethnic","","",""
"64e45507-1fd6-4489-89aa-ac61845cc0d0","greekLit-fgrh.2046.bnjo-1-ed-grc_clean_post-ner.xml","Ἐμπορίου","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[3]::113;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[3]::121","PLACE","http://pleiades.stoa.org/places/246382","Palaiapolis, Palaiapolis, San Martín de Ampurias|Neapolis, Neapolis, Empúries|Emporiae|Emporiae/Emporion, Empúries","-0750/0640","42.14011","3.11795","amphitheatre,settlement,port","VERIFIED","","","",""
"d4ee1c80-87c2-4db7-b441-a76bd3dba5fc","greekLit-fgrh.2046.bnjo-1-ed-grc_clean_post-ner.xml","Ῥοδανοῦ","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[3]::128;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[3]::135","PLACE","http://pleiades.stoa.org/places/148168","Rhodanus (river)|Rhodanus, Rhône (Le)","-0550/0640","43.33167","4.84861","river","VERIFIED","ποταμός","","",""
"c8f7c9e7-013b-4f0c-9ec5-a2ef9eba1751","greekLit-fgrh.2046.bnjo-1-ed-grc_clean_post-ner.xml","Ῥοδανοῦ","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[4]::14;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[4]::21","PLACE","http://pleiades.stoa.org/places/148168","Rhodanus (river)|Rhodanus, Rhône (Le)","-0550/0640","43.33167","4.84861","river","VERIFIED","ποταμός","","",""
"9e996de8-6ec1-4fad-ac91-755e49db4ef6","greekLit-fgrh.2046.bnjo-1-ed-grc_clean_post-ner.xml","Λίγυες","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[4]::38;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[4]::44","PLACE","http://pleiades.stoa.org/places/383698","Liguria","-0750/0640","44.22656549434755","9.235707726672372","region","VERIFIED","group|ethnic","","",""
"1bad4683-b3f2-4802-84bd-862241df2ad6","greekLit-fgrh.2046.bnjo-1-ed-grc_clean_post-ner.xml","Ἀντίου","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[4]::51;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[4]::57","PLACE","http://pleiades.stoa.org/places/157812","Antipolis|Antipolis, Antibes|Antibes","-0750/2100","43.5807","7.1209","settlement,port","VERIFIED","","","",""
"063311fd-31b7-44e3-ba1b-1ae0e93f3197","greekLit-fgrh.2046.bnjo-1-ed-grc_clean_post-ner.xml","Ἑλληνίς","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[4]::88;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[4]::95","","","","","","","","","place|ethnic","","",""
"94875c5d-804e-4685-b88f-cf4350a946da","greekLit-fgrh.2046.bnjo-1-ed-grc_clean_post-ner.xml","Μασσαλία","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[4]::97;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[4]::105","PLACE","http://pleiades.stoa.org/places/148127","Massalia/Massilia|Massalia/Massilia, Marseille|Marseille","-0750/2100","43.299467","5.365307","settlement","VERIFIED","πόλις|λιμήν|ἑλληνίς","","",""
"e34b4acc-2a38-4735-b249-d883dd0e46f1","greekLit-fgrh.2046.bnjo-1-ed-grc_clean_post-ner.xml","Ὀλβία","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[4]::123;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[4]::128","PLACE","http://pleiades.stoa.org/places/157896","Olbia|Olbia, L'Almanarre","-0330/2100","43.080833","6.1225","settlement","VERIFIED","ἄποικος","","",""
"218dfd48-3987-4ef4-8ad2-92660b9d029a","greekLit-fgrh.2046.bnjo-1-ed-grc_clean_post-ner.xml","Ἄντιον","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[4]::133;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[4]::139","PLACE","http://pleiades.stoa.org/places/157812","Antipolis|Antipolis, Antibes|Antibes","-0750/2100","43.5807","7.1209","settlement,port","VERIFIED","ἄποικος","","",""
"50dabb1b-ae72-4859-b0bf-387b76040f06","greekLit-fgrh.2046.bnjo-1-ed-grc_clean_post-ner.xml","Μασσαλίας","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[4]::166;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[4]::175","PLACE","http://pleiades.stoa.org/places/148127","Massalia/Massilia|Massalia/Massilia, Marseille|Marseille","-0750/2100","43.299467","5.365307","settlement","VERIFIED","","","",""
"27741d6a-bc4d-4f36-95ad-c01b691e63c1","greekLit-fgrh.2046.bnjo-1-ed-grc_clean_post-ner.xml","Ῥοδανοῦ","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[4]::212;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[4]::219","PLACE","http://pleiades.stoa.org/places/148168","Rhodanus (river)|Rhodanus, Rhône (Le)","-0550/0640","43.33167","4.84861","river","VERIFIED","ποταμός","","",""
"0ddcfee6-c7e6-4f70-ab1c-e959f16d27d4","greekLit-fgrh.2046.bnjo-1-ed-grc_clean_post-ner.xml","Ἀντίου","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[4]::234;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[4]::240","PLACE","http://pleiades.stoa.org/places/157812","Antipolis|Antipolis, Antibes|Antibes","-0750/2100","43.5807","7.1209","settlement,port","VERIFIED","","","",""
"6f03f9fb-fbe1-46f5-aea1-d00572629567","greekLit-fgrh.2046.bnjo-1-ed-grc_clean_post-ner.xml","Ἡρακλείων                         στηλῶν","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[4]::277;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[4]::317","PLACE","http://pleiades.stoa.org/places/275614","Columnae Herculis","-0750/0300","35.9358335","-5.384583","cape","VERIFIED","","","",""
"90abc229-eb16-45b4-8b2a-553f7bc7a351","greekLit-fgrh.2046.bnjo-1-ed-grc_clean_post-ner.xml","Ἀντίου","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[4]::324;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[4]::330","PLACE","http://pleiades.stoa.org/places/157812","Antipolis|Antipolis, Antibes|Antibes","-0750/2100","43.5807","7.1209","settlement,port","VERIFIED","","","",""
"55840459-d04b-48d6-ab4c-dbe9d5463d72","greekLit-fgrh.2046.bnjo-1-ed-grc_clean_post-ner.xml","Ἀντίου","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[5]::19;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[5]::25","PLACE","http://pleiades.stoa.org/places/157812","Antipolis|Antipolis, Antibes|Antibes","-0750/2100","43.5807","7.1209","settlement,port","VERIFIED","","","",""
"444115f0-f8f8-4c27-b137-1a506303a6bb","greekLit-fgrh.2046.bnjo-1-ed-grc_clean_post-ner.xml","Τυρρηνοὶ","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[5]::50;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[5]::58","PLACE","http://pleiades.stoa.org/places/413122","Etruria/Tuscia","-0750/0640","42.42102874792005","11.752744124826158","region","VERIFIED","group|ethnic|ἔθνος","","",""
